filename,product_id,product_name,category,sale_price,caption
P00009.png,P00009,코튼 밴딩 팬츠,여성의류,44600,"여성의류 카테고리의 ‘코튼 밴딩 팬츠’ 상품 이미지. 브랜드는 데일리코디, 판매가는 44,600원, 색상은 그레이·카키·블랙이다."
P00055.png,P00055,베이직 데님 자켓,여성의류,36000,"여성의류 카테고리의 ‘베이직 데님 자켓’ 상품 이미지. 브랜드는 데일리코디, 판매가는 36,000원, 색상은 카키·블랙·베이지이다."
P00015.png,P00015,스탠다드 피케 카라티,남성의류,34600,"남성의류 카테고리의 ‘스탠다드 피케 카라티’ 상품 이미지. 브랜드는 코어웨어, 판매가는 34,600원, 색상은 네이비·화이트·블랙·차콜이다."
P00018.png,P00018,와이드 데님 팬츠,남성의류,19000,"남성의류 카테고리의 ‘와이드 데님 팬츠’ 상품 이미지. 브랜드는 코어웨어, 판매가는 19,000원, 색상은 베이지·인디고이다."
P00022.png,P00022,캔버스 로우 스니커즈,신발,46000,"신발 카테고리의 ‘캔버스 로우 스니커즈’ 상품 이미지. 브랜드는 스텝업, 판매가는 46,000원, 색상은 그레이·화이트·블랙이다."
P00066.png,P00066,방수 EVA 슬리퍼,신발,12700,"신발 카테고리의 ‘방수 EVA 슬리퍼’ 상품 이미지. 브랜드는 스텝업, 판매가는 12,700원, 색상은 블랙·아이보리이다."
P00025.png,P00025,방수 나일론 토트백,가방,45100,"가방 카테고리의 ‘방수 나일론 토트백’ 상품 이미지. 브랜드는 캐리온, 판매가는 45,100원, 색상은 카멜·블랙·그레이이다."
P00024.png,P00024,데일리 미니 크로스백,가방,26400,"가방 카테고리의 ‘데일리 미니 크로스백’ 상품 이미지. 브랜드는 캐리온, 판매가는 26,400원, 색상은 그레이·카멜·블랙이다."
P00063.png,P00063,슬림 카드지갑,패션잡화,38200,"패션잡화 카테고리의 ‘슬림 카드지갑’ 상품 이미지. 브랜드는 캐리온, 판매가는 38,200원, 색상은 브라운·블랙이다."
P00028.png,P00028,극세사 양말 5켤레 세트,패션잡화,16400,"패션잡화 카테고리의 ‘극세사 양말 5켤레 세트’ 상품 이미지. 브랜드는 데일리코디, 판매가는 16,400원, 색상은 브라운·블랙이다."
P00067.png,P00067,북유럽풍 도자기 접시 4P,주방용품,12000,"주방용품 카테고리의 ‘북유럽풍 도자기 접시 4P’ 상품 이미지. 브랜드는 코지홈, 판매가는 12,000원이다."
P00035.png,P00035,실리콘 지퍼백 대용량 세트,주방용품,14100,"주방용품 카테고리의 ‘실리콘 지퍼백 대용량 세트’ 상품 이미지. 브랜드는 코지홈, 판매가는 14,100원이다."
P00070.png,P00070,호텔식 베이직 타월 4매,욕실용품,29600,"욕실용품 카테고리의 ‘호텔식 베이직 타월 4매’ 상품 이미지. 브랜드는 리빙플러스, 판매가는 29,600원, 색상은 화이트·그레이이다."
P00071.png,P00071,속건 마이크로화이버 타월 3매,욕실용품,12100,"욕실용품 카테고리의 ‘속건 마이크로화이버 타월 3매’ 상품 이미지. 브랜드는 리빙플러스, 판매가는 12,100원, 색상은 민트·화이트·그레이이다."
P00041.png,P00041,스팀 극세사 물걸레 리필 5매,청소용품,7900,"청소용품 카테고리의 ‘스팀 극세사 물걸레 리필 5매’ 상품 이미지. 브랜드는 코지홈, 판매가는 7,900원이다."
P00042.png,P00042,다목적 베이킹소다 세정티슈 80매,청소용품,8200,"청소용품 카테고리의 ‘다목적 베이킹소다 세정티슈 80매’ 상품 이미지. 브랜드는 리빙플러스, 판매가는 8,200원이다."
P00043.png,P00043,모달 차렵이불 SS,침구류,14000,"침구류 카테고리의 ‘모달 차렵이불 SS’ 상품 이미지. 브랜드는 슬립앤, 판매가는 14,000원, 색상은 인디핑크·라이트그레이·차콜이다."
P00072.png,P00072,알러지케어 매트리스 커버 Q,침구류,35200,"침구류 카테고리의 ‘알러지케어 매트리스 커버 Q’ 상품 이미지. 브랜드는 슬립앤, 판매가는 35,200원, 색상은 화이트·그레이이다."
